Наименование3	Описание предложения.Мин. длина 20 символов1	2024-01-19T15:33:47.545Z	Paris	beach_resort_preview.jpg	hotel-01.jpg	false	true	8	Room	8	9	9	Washer;Towels;Fridge	Laura Johnson	reception3@hotel.com	avatar2.jpg	OwHmH7pbo@	Common	2	3	5
Наименование2	Описание предложения.Мин. длина 20 символов1	2024-01-14T15:33:47.548Z	Cologne	hotel_preview.jpg	hotel-02.jpg;hotel-03.jpg	false	false	4	Room	6	5	4	Washer;Towels;Fridge	Laura Johnson	reception1@hotel.com	avatar2.jpg	zZJpRkGW	Pro	10	3	5
Наименование2	Описание предложения.Мин. длина 20 символов3	2024-01-19T15:33:47.548Z	Paris	hotel_preview.jpg	hotel-02.jpg;hotel-03.jpg	true	false	8	Apartment	2	5	10	AirConditioning;LaptopFriendly;BabySeat;Washer;Towels	Laura Johnson	reception2@hotel.com	avatar2.jpg	uroafxp	Common	6	3	6
Наименование1	Описание предложения.Мин. длина 20 символов2	2024-01-18T15:33:47.548Z	Cologne	hotel_preview.jpg	hotel-02.jpg;hotel-03.jpg	false	true	3	Hotel	9	9	9	BabySeat;Washer;Towels;Fridge	Dougie Smith	reception2@hotel.com	avatar1.jpg	-bVghPJ	Common	10	2	4
Наименование2	Описание предложения.Мин. длина 20 символов2	2024-01-19T15:33:47.548Z	Paris	hotel_preview.jpg	hotel-02.jpg;hotel-03.jpg	false	false	8	Apartment	8	7	9	Washer;Towels;Fridge	John Davis	reception2@hotel.com	avatar1.jpg	zxvxxf	Pro	2	2	6
Наименование2	Описание предложения.Мин. длина 20 символов2	2024-01-17T15:33:47.548Z	Brussels	sunset_hotel_preview.jpg	hotel-01.jpg;hotel-02.jpg;hotel-03.jpg	true	true	10	House	9	3	3	Washer;Towels;Fridge	Laura Johnson	reception1@hotel.com	avatar2.jpg	y$l0Bg	Pro	6	7	10
Наименование3	Описание предложения.Мин. длина 20 символов1	2024-01-17T15:33:47.548Z	Cologne	beach_resort_preview.jpg	hotel-02.jpg;hotel-03.jpg	true	true	7	House	8	2	4	BabySeat;Washer;Towels;Fridge	Dougie Smith	reception1@hotel.com	avatar3.jpg	DYMq20pBg	Pro	2	3	5
Наименование2	Описание предложения.Мин. длина 20 символов2	2024-01-20T15:33:47.548Z	Paris	sunset_hotel_preview.jpg	hotel-02.jpg	true	true	6	Apartment	9	5	10	Fridge	Laura Johnson	reception1@hotel.com	avatar1.jpg	Jl-jts78RX	Common	3	9	9
Наименование1	Описание предложения.Мин. длина 20 символов2	2024-01-19T15:33:47.548Z	Cologne	beach_resort_preview.jpg	hotel-02.jpg;hotel-03.jpg	false	false	1	Room	5	8	7	LaptopFriendly;BabySeat;Washer;Towels;Fridge	John Davis	reception3@hotel.com	avatar2.jpg	1fn~vu$	Common	9	2	8
Наименование2	Описание предложения.Мин. длина 20 символов3	2024-01-19T15:33:47.548Z	Paris	beach_resort_preview.jpg	hotel-02.jpg;hotel-03.jpg	true	true	6	Room	9	1	3	LaptopFriendly;BabySeat;Washer;Towels	Laura Johnson	reception2@hotel.com	avatar3.jpg	bIHupi$MD	Pro	3	7	5
